index,facility_name,odhf_facility_type,provider,street_no,street_name,postal_code,city,province,CSDname,CSDuid,Pruid,latitude,longitude
161,Villa Saint Joseph-Du-Lac,Nursing and residential care facilities,Province of Nova Scotia,255,highway 1,B5A 4A5,dayton,ns,Yarmouth,1202004,12,43.8692446,-66.11164311
162,Vimy Court,Nursing and residential care facilities,Province of Nova Scotia,130,vimy road,B2N 4J6,bible hill,ns,Colchester - Subd. B,1210008,12,45.3793295,-63.2606517
163,Wedgewood House for Seniors Limited,Nursing and residential care facilities,Province of Nova Scotia,19,leverett avenue,B4N 2K5,kentville,ns,Kentville,1207012,12,45.07685084,-64.49156123
164,Western Kings Memorial Health Centre,Ambulatory health care services,Public Health Agency of Canada,121,orchard st,B0P 1E0,berwick,ns,Berwick,1207004,12,45.0366969,-64.736579
165,White Birches Retirement Residence,Nursing and residential care facilities,Province of Nova Scotia,189,fox ranch rd,B4H 3Y3,amherst,ns,Cumberland - Subd. C,1211009,12,45.84141239,-64.17934846
166,White Hills Long Term Care Centre,Nursing and residential care facilities,Province of Nova Scotia,297,pockwock road,B4B 1N5,hammonds plains,ns,Halifax,1209034,12,44.744604,-63.805761
167,Willow Lodge,Nursing and residential care facilities,Province of Nova Scotia,100,blair avennue,B0K 1V0,tatamagouche,ns,Colchester - Subd. B,1210008,12,45.71116398,-63.29718836
168,Willows Manor Limited,Nursing and residential care facilities,Province of Nova Scotia,2844,highway 2,B0N 2H0,shubenacadie,ns,East Hants,1208008,12,45.088376,-63.40760294
169,Windsor Elms Village for Continuing Care Society,Nursing and residential care facilities,Province of Nova Scotia,174,dyke road,B0N 2T0,windsor,ns,West Hants,1208001,12,44.99494045,-64.17090584
170,Wolfville Elms,Nursing and residential care facilities,Province of Nova Scotia,701,main street,B4P 2N4,wolfville,ns,Wolfville,1207024,12,45.0868507,-64.3790725
171,Wolfville Nursing Home,Nursing and residential care facilities,Province of Nova Scotia,601,main street,B4P 1E9,wolfville,ns,Wolfville,1207024,12,45.08978053,-64.37227286
172,Wynn Park Villa,Nursing and residential care facilities,Province of Nova Scotia,32,windor way,B2N 0B4,truro,ns,Truro,1210006,12,45.35569122,-63.30189093
173,Yarmouth Regional Hospital,Hospitals,Public Health Agency of Canada,60,vancouver st,B5A 2P5,yarmouth,ns,Yarmouth,1202006,12,43.8506469,-66.1217646
