OBJECTID,Place,Day,Date_of_Exposure,Time_of_Exposure,Address,Zone,Last_Updated,Exposure_area,Geolocation_Address,longitude,latitude,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area
91,Mary’s Place Café II,Wed,12/08/2021, 11:30 to 13:30,5982 Spring Garden Rd.- Halifax,Central,12/11/2021 - 00:45,Mary’s Place Café II,Mary’s Place Café II - 5982 Spring Garden Rd.- Halifax- Nova Scotia- Canada,-63.58634276,44.64046298,0.1,92,0.006831935,3.56e-06
92,Swiss Chalet – Dartmouth Crossing,Wed,12/08/2021, 11:30 to 13:30,16 Foulis Row- Dartmouth,Central,12/09/2021 - 21:21,Swiss Chalet – Dartmouth Crossing,Swiss Chalet – Dartmouth Crossing - 16 Foulis Row- Dartmouth- Nova Scotia- Canada,-63.56221004,44.70639005,0.1,93,0.006836741,3.56e-06
93,Snow Queen Restaurant,Wed,12/08/2021, 11:30 to 13:30,21 James Street- Antigonish,Eastern,12/08/2021 - 22:50,Snow Queen Restaurant,Snow Queen Restaurant - 21 James Street- Antigonish- Nova Scotia- Canada,-62.00155993,45.61584996,0.1,94,0.006904881999999999,3.62e-06
94,Justamere Café & Bakery,Wed,12/08/2021, 11:30 to 13:30,137 Church St.- Antigonish,Eastern,12/09/2021 - 21:45,Justamere Café & Bakery,Justamere Café & Bakery - 137 Church St.- Antigonish- Nova Scotia- Canada,-61.98565384,45.61600232,0.1,95,0.0069048930000000005,3.62e-06
95,Main Street Café - Maritime Inn Restaurant,Wed,12/08/2021, 11:30 to 13:30,158 Main Street- Antigonish,Eastern,12/08/2021 - 22:34,Main Street Café - Maritime Inn Restaurant,Main Street Café - Maritime Inn Restaurant - 158 Main Street- Antigonish- Nova Scotia- Canada,-61.98719926,45.62326673,0.1,96,0.006905451999999999,3.62e-06
96,Ela! Greek Taverna Restaurant,Wed,12/08/2021, 11:30 to 13:30,215 Chain Lake Drive- Halifax,Central,12/09/2021 - 21:19,Ela! Greek Taverna Restaurant,Ela! Greek Taverna Restaurant - 215 Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.67757877,44.65376166,0.1,97,0.006832903,3.56e-06
97,Piper s Pub,Wed,12/08/2021, 11:30 to 13:30,33 College St.- Antigonish,Eastern,12/08/2021 - 22:48,Piper s Pub,Piper s Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.991580000000006,45.62128,0.1,98,0.006905299,3.62e-06
98,St. Francis Xavier University – Angus L. Macdonald Library,Wed,12/08/2021, 11:30 to 13:30,,Eastern,12/10/2021 - 23:40,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - nan- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,99,0.006905208,3.62e-06
99,Centennial Arena,Wed,12/08/2021, 11:30 to 13:30,stands for U9 hockey (27 Vimy Avenue- Halifax),Central,12/08/2021 - 22:28,Centennial Arena,Centennial Arena - stands for U9 hockey (27 Vimy Avenue- Halifax)- Nova Scotia- Canada,-63.63491111,44.66173637,0.1,100,0.006833484,3.56e-06
100,GoodLife Fitness,Wed,12/08/2021, 11:30 to 13:30,26 College St.- Antigonish,Eastern,12/10/2021 - 23:30,GoodLife Fitness,GoodLife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459,0.1,101,0.00690532,3.62e-06
101,Kenny s Pizza,Wed,12/08/2021, 11:30 to 13:30,30 College St.- Antigonish,Eastern,12/09/2021 - 21:21,Kenny s Pizza,Kenny s Pizza - 30 College St.- Antigonish- Nova Scotia- Canada,-61.99146304,45.62143114,0.1,102,0.006905311,3.62e-06
102,Piper s Pub,Wed,12/08/2021, 11:30 to 13:30,33 College St.- Antigonish,Eastern,12/09/2021 - 21:32,Piper s Pub,Piper s Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.991580000000006,45.62128,0.1,103,0.006905299,3.62e-06
103,Spindrift Oak Manor,Wed,12/08/2021, 11:30 to 13:30,271 Main Street- Antigonish,Eastern,12/09/2021 - 21:54,Spindrift Oak Manor,Spindrift Oak Manor - 271 Main Street- Antigonish- Nova Scotia- Canada,-61.99157076,45.62243257,0.1,104,0.006905388,3.62e-06
104,Grindhouse Cafe,Wed,12/08/2021, 11:30 to 13:30,2914 Main St.- Antigonish,Eastern,12/11/2021 - 00:02,Grindhouse Cafe,Grindhouse Cafe - 2914 Main St.- Antigonish- Nova Scotia- Canada,-61.98846328,45.6228542,0.1,105,0.00690542,3.62e-06
105,Candid Brewery Company,Wed,12/08/2021, 11:30 to 13:30,88 College Street- Antigonish,Eastern,12/09/2021 - 21:47,Candid Brewery Company,Candid Brewery Company - 88 College Street- Antigonish- Nova Scotia- Canada,-61.99161577,45.62305358,0.1,106,0.006905436,3.62e-06
106,St. Francis Xavier University – Student Union Building (party),Wed,12/08/2021, 11:30 to 13:30,,Eastern,12/09/2021 - 22:20,St. Francis Xavier University – Student Union Building (party),St. Francis Xavier University – Student Union Building (party) - nan- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,107,0.006905208,3.62e-06
107,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Golden X Inn - X Ring Super SUB Event- Bloomfield Centre,Eastern,12/08/2021 - 22:26,St. Francis Xavier University,St. Francis Xavier University - Golden X Inn - X Ring Super SUB Event- Bloomfield Centre- Nova Scotia- Canada,-64.3571,44.37933,0.1,108,0.006813073,3.54e-06
108,Boston Pizza,Wed,12/08/2021, 11:30 to 13:30,133 Church Street- Antigonish,Eastern,12/08/2021 - 22:47,Boston Pizza,Boston Pizza - 133 Church Street- Antigonish- Nova Scotia- Canada,-61.98552,45.61557,0.1,109,0.00690486,3.62e-06
109,Big Leagues,Wed,12/08/2021, 11:30 to 13:30,920 Cole Harour Rd.- Dartmouth,Central,12/11/2021 - 00:09,Big Leagues,Big Leagues - 920 Cole Harour Rd.- Dartmouth- Nova Scotia- Canada,-63.49831148,44.67035737,0.1,110,0.006834112,3.56e-06
110,Justamere Café & Bakery,Wed,12/08/2021, 11:30 to 13:30,137 Church St.- Antigonish,Eastern,12/09/2021 - 21:44,Justamere Café & Bakery,Justamere Café & Bakery - 137 Church St.- Antigonish- Nova Scotia- Canada,-61.98565384,45.61600232,0.1,111,0.0069048930000000005,3.62e-06
111,St- Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Amelia Saputo Centre,Eastern,12/08/2021 - 22:19,St- Francis Xavier University,St- Francis Xavier University - Amelia Saputo Centre- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,112,0.006905208,3.62e-06
112,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,MacIsaac Hall- Bishop s Hall- and Cameron Hall residences,Eastern,12/08/2021 - 22:22,St. Francis Xavier University,St. Francis Xavier University - MacIsaac Hall- Bishop s Hall- and Cameron Hall residences- Nova Scotia- Canada,-61.63183000000001,45.76663995,0.1,113,0.006916521,3.63e-06
113,Jack Astor’s Bar & Grill,Wed,12/08/2021, 11:30 to 13:30,184 Chain Lake Drive- Halifax,Central,12/08/2021 - 22:25,Jack Astor’s Bar & Grill,Jack Astor’s Bar & Grill - 184 Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.67421995,44.64726007,0.1,114,0.00683243,3.56e-06
114,Boston Pizza,Wed,12/08/2021, 11:30 to 13:30,194A Chain Lake Drive- Halifax,Central,12/08/2021 - 22:26,Boston Pizza,Boston Pizza - 194A Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.6757326,44.6509879,0.1,115,0.006832702,3.56e-06
115,Pizza Delight,Wed,12/08/2021, 11:30 to 13:30,348 Main Street- Antigonish,Eastern,12/08/2021 - 22:45,Pizza Delight,Pizza Delight - 348 Main Street- Antigonish- Nova Scotia- Canada,-61.99437003,45.62219,0.1,116,0.00690537,3.62e-06
116,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Morrison Dining Hall,Eastern,12/10/2021 - 23:55,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,117,0.006905208,3.62e-06
117,Jack Astor’s Bar and Grill,Wed,12/08/2021, 11:30 to 13:30,184 Chain Lake Dr.- Halifax,Central,12/07/2021 - 20:59,Jack Astor’s Bar and Grill,Jack Astor’s Bar and Grill - 184 Chain Lake Dr.- Halifax- Nova Scotia- Canada,-63.67421995,44.64726007,0.1,118,0.00683243,3.56e-06
118,Townhouse Restaurant,Wed,12/08/2021, 11:30 to 13:30,76 College St.- Antigonish,Eastern,12/09/2021 - 21:39,Townhouse Restaurant,Townhouse Restaurant - 76 College St.- Antigonish- Nova Scotia- Canada,-61.99147579,45.62269354,0.1,119,0.006905408,3.62e-06
119,St Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Angus L. Macdonald Library (2nd floor cubbies),Eastern,12/08/2021 - 22:23,St Francis Xavier University,St Francis Xavier University - Angus L. Macdonald Library (2nd floor cubbies)- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,120,0.006905208,3.62e-06
120,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Amelia Saputo Centre (Main gymnasium - Coach K Court),Eastern,12/11/2021 - 00:45,St. Francis Xavier University,St. Francis Xavier University - Amelia Saputo Centre (Main gymnasium - Coach K Court)- Nova Scotia- Canada,-61.63183000000001,45.76663995,0.1,121,0.006916521,3.63e-06
121,Playdium,Wed,12/08/2021, 11:30 to 13:30,21 Cabela Road- Dartmouth,Central,12/08/2021 - 22:21,Playdium,Playdium - 21 Cabela Road- Dartmouth- Nova Scotia- Canada,-63.57535,44.67404000000001,0.1,122,0.006834381,3.56e-06
122,Antojo Taco + Tequila,Wed,12/08/2021, 11:30 to 13:30,1667 Argyle St.- Halifax,Central,12/11/2021 - 00:46,Antojo Taco + Tequila,Antojo Taco + Tequila - 1667 Argyle St.- Halifax- Nova Scotia- Canada,-63.57451992,44.64660008,0.1,123,0.006832382,3.56e-06
123,Goodlife Fitness,Wed,12/08/2021, 11:30 to 13:30,26 College St.- Antigonish,Eastern,12/08/2021 - 22:35,Goodlife Fitness,Goodlife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459,0.1,124,0.00690532,3.62e-06
124,Vivid Hair & Body,Wed,12/08/2021, 11:30 to 13:30,325 Main Street- Antigonish,Eastern,12/08/2021 - 22:43,Vivid Hair & Body,Vivid Hair & Body - 325 Main Street- Antigonish- Nova Scotia- Canada,-61.99262126,45.62247255,0.1,125,0.006905391,3.62e-06
125,CrossFit Actuate,Wed,12/08/2021, 11:30 to 13:30,1644 Brierly Brook Rd.- Antigonish,Eastern,12/10/2021 - 23:58,CrossFit Actuate,CrossFit Actuate - 1644 Brierly Brook Rd.- Antigonish- Nova Scotia- Canada,-62.02762694,45.62691257,0.1,126,0.006905732,3.62e-06
126,Main Street Café - Maritime Inn Restaurant,Wed,12/08/2021, 11:30 to 13:30,158 Main Street- Antigonish,Eastern,12/08/2021 - 22:32,Main Street Café - Maritime Inn Restaurant,Main Street Café - Maritime Inn Restaurant - 158 Main Street- Antigonish- Nova Scotia- Canada,-61.98719926,45.62326673,0.1,127,0.006905451999999999,3.62e-06
127,St. Francis Xavier,Wed,12/08/2021, 11:30 to 13:30,Charles V. Keating Centre,Eastern,12/08/2021 - 22:15,St. Francis Xavier,St. Francis Xavier - Charles V. Keating Centre- Nova Scotia- Canada,-64.3571,44.37933,0.1,128,0.006813073,3.54e-06
128,Royal Bank,Wed,12/08/2021, 11:30 to 13:30,50 Tacoma Drive- Dartmouth,Central,12/09/2021 - 21:16,Royal Bank,Royal Bank - 50 Tacoma Drive- Dartmouth- Nova Scotia- Canada,-63.53980693,44.68081258,0.1,129,0.006834874,3.56e-06
129,Tall and Small Cafe,Wed,12/08/2021, 11:30 to 13:30,342 Main Street- Antigonish,Eastern,12/09/2021 - 21:36,Tall and Small Cafe,Tall and Small Cafe - 342 Main Street- Antigonish- Nova Scotia- Canada,-61.99411,45.62229005,0.1,130,0.006905377,3.62e-06
130,Discovery Centre,Wed,12/08/2021, 11:30 to 13:30,1593 Barrington St.- Halifax,Central,12/11/2021 - 00:48,Discovery Centre,Discovery Centre - 1593 Barrington St.- Halifax- Nova Scotia- Canada,-63.57340755,44.64605492,0.1,131,0.006832342,3.56e-06
131,Piper s Pub,Wed,12/08/2021, 11:30 to 13:30,33 College St.- Antigonish,Eastern,12/10/2021 - 23:32,Piper s Pub,Piper s Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.991580000000006,45.62128,0.1,132,0.006905299,3.62e-06
132,Montana s BBQ & Bar,Wed,12/08/2021, 11:30 to 13:30,196B Chain Lake Drive- Halifax,Central,12/05/2021 - 18:34,Montana s BBQ & Bar,Montana s BBQ & Bar - 196B Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.6757683,44.65109821,0.1,133,0.006832709,3.56e-06
133,Candid Brewing Company,Wed,12/08/2021, 11:30 to 13:30,88 College St.- Antigonish,Eastern,12/10/2021 - 23:34,Candid Brewing Company,Candid Brewing Company - 88 College St.- Antigonish- Nova Scotia- Canada,-61.99161577,45.62305358,0.1,134,0.006905436,3.62e-06
134,Finbars,Wed,12/08/2021, 11:30 to 13:30,1595 Bedford Highway- Bedford,Central,12/08/2021 - 22:19,Finbars,Finbars - 1595 Bedford Highway- Bedford- Nova Scotia- Canada,-63.656112,44.7327669,0.1,135,0.006838668000000001,3.56e-06
135,Main Street Café - Maritime Inn Restaurant,Wed,12/08/2021, 11:30 to 13:30,158 Main Street- Antigonish,Eastern,12/08/2021 - 22:30,Main Street Café - Maritime Inn Restaurant,Main Street Café - Maritime Inn Restaurant - 158 Main Street- Antigonish- Nova Scotia- Canada,-61.98719926,45.62326673,0.1,136,0.006905451999999999,3.62e-06
136,Goodlife Fitness,Wed,12/08/2021, 11:30 to 13:30,26 College St.- Antigonish,Eastern,12/08/2021 - 22:33,Goodlife Fitness,Goodlife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459,0.1,137,0.00690532,3.62e-06
137,Lanes at Membertou,Wed,12/08/2021, 11:30 to 13:30,185 Towerview Pl.- Membertou,Eastern,12/11/2021 - 00:44,Lanes at Membertou,Lanes at Membertou - 185 Towerview Pl.- Membertou- Nova Scotia- Canada,-60.19347461,46.12059124,0.1,138,0.006944236,3.65e-06
138,Tim Horton’s,Wed,12/08/2021, 11:30 to 13:30,34 Main Street- Antigonish,Eastern,12/09/2021 - 21:32,Tim Horton’s,Tim Horton’s - 34 Main Street- Antigonish- Nova Scotia- Canada,-61.98302,45.62501,0.1,139,0.006905586,3.62e-06
139,St. Francis Xavier University – Angus L. Macdonald Library,Wed,12/08/2021, 11:30 to 13:30,Third Floor – across from the “Harry Potter” Room,Eastern,12/09/2021 - 21:34,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - Third Floor – across from the “Harry Potter” Room- Nova Scotia- Canada,-61.63183000000001,45.76663995,0.1,140,0.006916521,3.63e-06
140,Antigonish Nail Boutique,Wed,12/08/2021, 11:30 to 13:30,4053 S River Road- Antigonish,Eastern,12/08/2021 - 22:36,Antigonish Nail Boutique,Antigonish Nail Boutique - 4053 S River Road- Antigonish- Nova Scotia- Canada,-61.96567809,45.61634294,0.1,141,0.00690492,3.62e-06
141,Piper s Pub,Wed,12/08/2021, 11:30 to 13:30,33 College St.- Antigonish,Eastern,12/09/2021 - 21:28,Piper s Pub,Piper s Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.991580000000006,45.62128,0.1,142,0.006905299,3.62e-06
142,Piper s Pub,Wed,12/08/2021, 11:30 to 13:30,33 College St.- Antigonish,Eastern,12/07/2021 - 20:54,Piper s Pub,Piper s Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.991580000000006,45.62128,0.1,143,0.006905299,3.62e-06
143,Tantallon Public Library,Wed,12/08/2021, 11:30 to 13:30,3646 Hammonds Plains Road- Upper Tantallon,Central,12/04/2021 - 19:24,Tantallon Public Library,Tantallon Public Library - 3646 Hammonds Plains Road- Upper Tantallon- Nova Scotia- Canada,-63.8573503,44.70293334,0.1,144,0.006836489,3.56e-06
144,St. Margaret s Centre – Smith Arena,Wed,12/08/2021, 11:30 to 13:30,12 Westwood Blvd.- Upper Tantallon,Central,12/06/2021 - 18:38,St. Margaret s Centre – Smith Arena,St. Margaret s Centre – Smith Arena - 12 Westwood Blvd.- Upper Tantallon- Nova Scotia- Canada,-63.85885963,44.70632341,0.1,145,0.006836736,3.56e-06
145,Canada Games Centre,Wed,12/08/2021, 11:30 to 13:30,Aquatics Centre and family rooms (26 Thomas Raddall Drive- Halifax),Central,12/08/2021 - 22:15,Canada Games Centre,Canada Games Centre - Aquatics Centre and family rooms (26 Thomas Raddall Drive- Halifax)- Nova Scotia- Canada,-63.66526999999999,44.65896,0.1,146,0.006833282,3.56e-06
146,Goodlife Fitness,Wed,12/08/2021, 11:30 to 13:30,26 College St.- Antigonish,Eastern,12/08/2021 - 22:31,Goodlife Fitness,Goodlife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459,0.1,147,0.00690532,3.62e-06
147,Halifax Shopping Centre - Food Court,Wed,12/08/2021, 11:30 to 13:30,7001 Mumford Rd.- Halifax,Central,12/06/2021 - 18:40,Halifax Shopping Centre - Food Court,Halifax Shopping Centre - Food Court - 7001 Mumford Rd.- Halifax- Nova Scotia- Canada,-63.61744,44.64922,0.1,148,0.006832573000000001,3.56e-06
148,Dairy Queen,Wed,12/08/2021, 11:30 to 13:30,2515 Dutch Village Road- Halifax,Flight,12/04/2021 - 19:24,Dairy Queen,Dairy Queen - 2515 Dutch Village Road- Halifax- Nova Scotia- Canada,-63.63202998,44.65603997,0.1,149,0.006833069000000001,3.56e-06
149,Lanes at Membertou,Wed,12/08/2021, 11:30 to 13:30,185 Towerview Pl.- Membertou,Eastern,12/11/2021 - 00:47,Lanes at Membertou,Lanes at Membertou - 185 Towerview Pl.- Membertou- Nova Scotia- Canada,-60.19347461,46.12059124,0.1,150,0.006944236,3.65e-06
150,St. Margaret s Bay Centre - Smith Arena,Wed,12/08/2021, 11:30 to 13:30,12 Westwood Boulevard- Upper Tantallon,Central,12/05/2021 - 18:33,St. Margaret s Bay Centre - Smith Arena,St. Margaret s Bay Centre - Smith Arena - 12 Westwood Boulevard- Upper Tantallon- Nova Scotia- Canada,-63.85885963,44.70632341,0.1,151,0.006836736,3.56e-06
151,Mic Mac Bar and Grill,Wed,12/08/2021, 11:30 to 13:30,219 Waverley Road- Dartmouth,Central,12/03/2021 - 18:40,Mic Mac Bar and Grill,Mic Mac Bar and Grill - 219 Waverley Road- Dartmouth- Nova Scotia- Canada,-63.54734721,44.69494254,0.1,152,0.006835905,3.56e-06
152,St. Francis Xavier University – Angus L. Macdonald Library,Wed,12/08/2021, 11:30 to 13:30,Third Floor – across from the “Harry Potter” Room,Eastern,12/09/2021 - 21:36,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - Third Floor – across from the “Harry Potter” Room- Nova Scotia- Canada,-61.63183000000001,45.76663995,0.1,153,0.006916521,3.63e-06
153,Black Sheep Restaurant,Wed,12/08/2021, 11:30 to 13:30,Brewery Market (1496 Lower Water Street- Halifax),Central,12/09/2021 - 21:15,Black Sheep Restaurant,Black Sheep Restaurant - Brewery Market (1496 Lower Water Street- Halifax)- Nova Scotia- Canada,-63.56988078,44.6443034,0.1,154,0.0068322140000000005,3.56e-06
154,Pur & Simple,Wed,12/08/2021, 11:30 to 13:30,535 Portland Street- Dartmouth,Central,12/02/2021 - 18:45,Pur & Simple,Pur & Simple - 535 Portland Street- Dartmouth- Nova Scotia- Canada,-63.53918048,44.67024732,0.1,155,0.006834104000000001,3.56e-06
155,Café Marco Polo,Wed,12/08/2021, 11:30 to 13:30,15 Kings Wharf Pl.- Dartmouth,Central,11/30/2021 - 19:56,Café Marco Polo,Café Marco Polo - 15 Kings Wharf Pl.- Dartmouth- Nova Scotia- Canada,-63.56444403,44.66420505,0.1,156,0.006833664000000001,3.56e-06
156,Access Nova Scotia,Wed,12/08/2021, 11:30 to 13:30,300 Horseshoe Lake Dr.- Halifax,Central,11/30/2021 - 19:58,Access Nova Scotia,Access Nova Scotia - 300 Horseshoe Lake Dr.- Halifax- Nova Scotia- Canada,-63.67181001,44.63786005,0.1,157,0.006831746,3.56e-06
157,Scotiabank Theatre Halifax,Wed,12/08/2021, 11:30 to 13:30,Encanto screening- 190 Chain Lake Drive- Halifax,Central,12/02/2021 - 18:42,Scotiabank Theatre Halifax,Scotiabank Theatre Halifax - Encanto screening- 190 Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.67503519,44.64882196,0.1,158,0.006832544,3.56e-06
158,Masstown Market,Wed,12/08/2021, 11:30 to 13:30,10622- NS Trunk 2- Debert,Northern,12/03/2021 - 18:39,Masstown Market,Masstown Market - 10622- NS Trunk 2- Debert- Nova Scotia- Canada,-63.49551999999999,45.39332,0.1,159,0.006887885,3.61e-06
159,Pitch & Pivot,Wed,12/08/2021, 11:30 to 13:30,240 Brownlow Ave.- Dartmouth,Central,11/30/2021 - 19:55,Pitch & Pivot,Pitch & Pivot - 240 Brownlow Ave.- Dartmouth- Nova Scotia- Canada,-63.57839369,44.69499262,0.1,160,0.006835909,3.56e-06
160,The Barrington Steakhouse and Oyster Bar,Wed,12/08/2021, 11:30 to 13:30,1662 Barrington Street- Halifax,Central,12/03/2021 - 18:39,The Barrington Steakhouse and Oyster Bar,The Barrington Steakhouse and Oyster Bar - 1662 Barrington Street- Halifax- Nova Scotia- Canada,-63.57378003,44.64667998,0.1,161,0.006832387,3.56e-06
161,The Old Triangle Irish Alehouse,Wed,12/08/2021, 11:30 to 13:30,5136 Prince St- Halifax,Central,11/30/2021 - 19:45,The Old Triangle Irish Alehouse,The Old Triangle Irish Alehouse - 5136 Prince St- Halifax- Nova Scotia- Canada,-63.57229996,44.64766996,0.1,162,0.00683246,3.56e-06
162,East Side Mario’s,Wed,12/08/2021, 11:30 to 13:30,186 Chain Lake Drive- Halifax,Central,12/01/2021 - 17:38,East Side Mario’s,East Side Mario’s - 186 Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.67478997,44.64805006,0.1,163,0.006832488,3.56e-06
163,Montana’s,Wed,12/08/2021, 11:30 to 13:30,196B Chain Lake Drive- Halifax,Central,12/02/2021 - 18:35,Montana’s,Montana’s - 196B Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.6757683,44.65109821,0.1,164,0.006832709,3.56e-06
164,Scotiabank Centre,Wed,12/08/2021, 11:30 to 13:30,Mooseheads Game Section 43- 1800 Argyle Street- Halifax,Central,12/02/2021 - 18:38,Scotiabank Centre,Scotiabank Centre - Mooseheads Game Section 43- 1800 Argyle Street- Halifax- Nova Scotia- Canada,-63.57557002,44.64853996,0.1,165,0.006832523,3.56e-06
165,Moxies Bar & Grill,Wed,12/08/2021, 11:30 to 13:30,9 Countryview Dr.- Dartmouth,Central,11/30/2021 - 19:50,Moxies Bar & Grill,Moxies Bar & Grill - 9 Countryview Dr.- Dartmouth- Nova Scotia- Canada,-63.56489005,44.70098993,0.1,166,0.006836347,3.56e-06
166,Ela! Greek Taverna,Wed,12/08/2021, 11:30 to 13:30,150 Hector Gate- Dartmouth,Central,11/30/2021 - 19:48,Ela! Greek Taverna,Ela! Greek Taverna - 150 Hector Gate- Dartmouth- Nova Scotia- Canada,-63.56178993,44.70494996,0.1,167,0.006836636,3.56e-06
167,Sou’Wester Gift and Restaurant,Wed,12/08/2021, 11:30 to 13:30,178 Peggys Point Rd.- Peggys Cove,Central,11/28/2021 - 18:12,Sou’Wester Gift and Restaurant,Sou’Wester Gift and Restaurant - 178 Peggys Point Rd.- Peggys Cove- Nova Scotia- Canada,-63.91716007,44.49296998,0.1,168,0.006821248,3.55e-06
168,Hermitage,Wed,12/08/2021, 11:30 to 13:30,1460 Lower Water St.- Halifax,Central,11/30/2021 - 19:43,Hermitage,Hermitage - 1460 Lower Water St.- Halifax- Nova Scotia- Canada,-63.57002403,44.6444829,0.1,169,0.006832228,3.56e-06
169,Pür & Simple,Wed,12/08/2021, 11:30 to 13:30,189 Hector Gate- Dartmouth,Central,11/30/2021 - 19:47,Pür & Simple,Pür & Simple - 189 Hector Gate- Dartmouth- Nova Scotia- Canada,-63.56165160000001,44.70611587,0.1,170,0.006836721,3.56e-06
170,Revolution Fitness,Wed,12/08/2021, 11:30 to 13:30,112 Woodlawn Road- Dartmouth,Central,12/01/2021 - 17:50,Revolution Fitness,Revolution Fitness - 112 Woodlawn Road- Dartmouth- Nova Scotia- Canada,-63.53067996,44.67323655,0.1,171,0.006834323000000001,3.56e-06
171,Pitch & Pivot,Wed,12/08/2021, 11:30 to 13:30,240 Brownlow Ave.- Dartmouth,Central,11/30/2021 - 19:53,Pitch & Pivot,Pitch & Pivot - 240 Brownlow Ave.- Dartmouth- Nova Scotia- Canada,-63.57839369,44.69499262,0.1,172,0.006835909,3.56e-06
172,Hermitage,Wed,12/08/2021, 11:30 to 13:30,1460 Lower Water St.- Halifax,Central,11/30/2021 - 19:41,Hermitage,Hermitage - 1460 Lower Water St.- Halifax- Nova Scotia- Canada,-63.57002403,44.6444829,0.1,173,0.006832228,3.56e-06
173,GoodLife Fitness,Wed,12/08/2021, 11:30 to 13:30,3711 Joseph Howe Dr.- Halifax,Central,11/30/2021 - 20:05,GoodLife Fitness,GoodLife Fitness - 3711 Joseph Howe Dr.- Halifax- Nova Scotia- Canada,-63.62855955,44.65987308,0.1,174,0.006833348,3.56e-06
174,Hermitage,Wed,12/08/2021, 11:30 to 13:30,1460 Lower Water St.- Halifax,Central,11/30/2021 - 19:40,Hermitage,Hermitage - 1460 Lower Water St.- Halifax- Nova Scotia- Canada,-63.57002403,44.6444829,0.1,175,0.006832228,3.56e-06
175,Springhill Miners Memorial Library,Wed,12/08/2021, 11:30 to 13:30,8 Pioneer St.- Springhill,Northern,11/29/2021 - 19:00,Springhill Miners Memorial Library,Springhill Miners Memorial Library - 8 Pioneer St.- Springhill- Nova Scotia- Canada,-64.05668697,45.65013492,0.1,176,0.006907519,3.62e-06
176,The PIER,Wed,12/08/2021, 11:30 to 13:30,1209 Marginal Rd.- Halifax,Central,11/30/2021 - 19:38,The PIER,The PIER - 1209 Marginal Rd.- Halifax- Nova Scotia- Canada,-63.56701685,44.64085446,0.1,177,0.006831964,3.56e-06
177,Thai Express,Wed,12/08/2021, 11:30 to 13:30,50 Foulis Row- Dartmouth,Central,11/25/2021 - 20:16,Thai Express,Thai Express - 50 Foulis Row- Dartmouth- Nova Scotia- Canada,-63.56274003,44.70541005,0.1,178,0.006836669,3.56e-06
178,Swiss Chalet,Wed,12/08/2021, 11:30 to 13:30,482 Grand Lake Rd.- Sydney,Eastern,11/29/2021 - 19:05,Swiss Chalet,Swiss Chalet - 482 Grand Lake Rd.- Sydney- Nova Scotia- Canada,-60.15596997,46.14584993,0.1,179,0.006946235,3.65e-06
179,Rath Eastlink Community Centre,Wed,12/08/2021, 11:30 to 13:30,aquatics area only (625 Abenaki Rd.- Truro),Northern,11/29/2021 - 19:02,Rath Eastlink Community Centre,Rath Eastlink Community Centre - aquatics area only (625 Abenaki Rd.- Truro)- Nova Scotia- Canada,-63.3047663,45.35068712,0.1,180,0.006884653,3.6000000000000003e-06
180,Montana’s,Wed,12/08/2021, 11:30 to 13:30,196B Chain Lake Dr.- Halifax,Central,11/25/2021 - 20:16,Montana’s,Montana’s - 196B Chain Lake Dr.- Halifax- Nova Scotia- Canada,-63.6757683,44.65109821,0.1,181,0.006832709,3.56e-06
